update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_policy_loss,gameplay_value_loss,gameplay_entropy,gameplay_entropy_avg_logged,trade_policy_loss,trade_value_loss,trade_entropy,trade_entropy_avg_logged,tom_loss,total_loss,entropy_coef,gamma,gameplay_reward_ma10,trade_reward_ma10,gameplay_entropy_ma10,trade_entropy_ma10,gameplay_value_loss_ma10,trade_value_loss_ma10,gameplay_policy_loss_ma10,trade_policy_loss_ma10,tom_loss_ma10,total_loss_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
0,1647,1998,0.063,0.063,-0.0065,-0.0065,414,164,160,1232,28,-0.313,1.5093,1.1966,1.1966,0.0576,0.0213,2.4842,2.4842,1.608976,0.1572,0.0012,0.94,0.063,-0.0065,1.1966,2.4842,1.5093,0.0213,-0.313,0.0576,1.608976,0.1572,0.2072072072072072,0.08208208208208208,0.08008008008008008,0.6166166166166166,0.014014014014014014
1,1366,2233,0.0046,0.0338,-0.0063,-0.0064,469,155,178,1403,28,0.7757,0.6292,0.6724,0.9345,-0.8362,0.5519,2.5857,2.5349,1.609405,0.2654,0.0012,0.94028,0.0338,-0.0063999999999999994,0.9345000000000001,2.5349500000000003,1.06925,0.28659999999999997,0.23134999999999997,-0.38930000000000003,1.6091905,0.21130000000000002,0.21003134796238246,0.06941334527541423,0.07971339005821765,0.6283027317510076,0.012539184952978056
2,1355,2260,0.0052,0.0242,-0.0067,-0.0065,437,144,160,1476,43,0.5893,0.6751,0.7098,0.8596,-0.7421,0.5041,2.594,2.5546,1.610401,0.1728,0.0012,0.94055,0.02426666666666667,-0.0065,0.8596,2.5546333333333333,0.9378666666666667,0.3591,0.3506666666666667,-0.5069,1.6095940000000002,0.19846666666666668,0.19336283185840708,0.06371681415929203,0.07079646017699115,0.6530973451327433,0.01902654867256637
3,1386,2204,0.006,0.0197,-0.0065,-0.0065,469,172,169,1355,39,-0.112,0.7846,0.6539,0.8082,-0.4388,0.4808,2.5929,2.5642,1.608194,-0.2032,0.0012,0.94083,0.0197,-0.0065,0.8081750000000001,2.5642,0.8995500000000001,0.389525,0.235,-0.489875,1.609244,0.09805000000000001,0.21279491833030853,0.0780399274047187,0.07667876588021778,0.6147912885662432,0.017695099818511795
4,1402,2199,0.0048,0.0167,-0.0067,-0.0066,449,164,154,1388,44,-0.8637,0.9305,0.7088,0.7883,0.0847,0.4713,2.6078,2.5729,1.610036,-0.397,0.0012,0.94111,0.01672,-0.00654,0.7883,2.57292,0.90574,0.40587999999999996,0.015259999999999985,-0.37496,1.6094024,-0.0009599999999999942,0.2041837198726694,0.0745793542519327,0.07003183265120509,0.6311959981809914,0.020009095043201454
5,1381,2228,0.006,0.0149,-0.0071,-0.0066,444,167,150,1427,40,-1.1914,1.0474,0.7114,0.7755,0.3772,0.4548,2.5838,2.5747,1.609598,-0.4068,0.0012,0.94138,0.014933333333333333,-0.006633333333333334,0.7754833333333333,2.574733333333333,0.92935,0.4140333333333333,-0.18585,-0.24960000000000002,1.6094350000000002,-0.0686,0.1992818671454219,0.07495511669658887,0.06732495511669659,0.6404847396768402,0.017953321364452424
6,1416,2183,0.0053,0.0135,-0.0068,-0.0067,458,158,154,1376,37,-1.2872,1.114,0.7191,0.7674,0.5436,0.4508,2.6026,2.5787,1.611081,-0.3202,0.0012,0.94166,0.013557142857142856,-0.006657142857142857,0.7674285714285715,2.578714285714286,0.9557285714285715,0.4192857142857143,-0.3431857142857143,-0.13628571428571432,1.6096701428571427,-0.10454285714285715,0.2098030233623454,0.07237746220797069,0.07054512139257901,0.630325240494732,0.01694915254237288
7,1399,2212,0.0064,0.0127,-0.0071,-0.0067,455,150,166,1408,33,-1.3463,1.1654,0.7279,0.7625,0.633,0.4057,2.5946,2.5807,1.608475,-0.2881,0.0012,0.94193,0.0126625,-0.0067125,0.7624875,2.5807,0.9819375,0.4175875,-0.468575,-0.04012500000000002,1.60952075,-0.1274875,0.20569620253164558,0.06781193490054249,0.07504520795660036,0.6365280289330922,0.014918625678119348
8,1404,2201,0.0059,0.0119,-0.0069,-0.0067,466,148,194,1367,26,-1.3523,1.2504,0.7353,0.7595,0.6687,0.4328,2.6517,2.5886,1.608875,-0.2301,0.0012,0.94221,0.011911111111111112,-0.006733333333333333,0.7594666666666667,2.588588888888889,1.0117666666666667,0.41927777777777775,-0.5667666666666666,0.03863333333333331,1.6094490000000001,-0.1388888888888889,0.21172194457064972,0.06724216265333939,0.08814175374829623,0.6210813266696956,0.011812812358019082
9,1460,2150,0.0109,0.0118,-0.0071,-0.0068,460,168,179,1318,25,-1.3028,1.2686,0.8164,0.7652,0.7197,0.4115,2.6099,2.5907,1.609046,-0.1301,0.0012,0.94249,0.01181,-0.00677,0.7651600000000001,2.59072,1.0374500000000002,0.4185,-0.6403700000000001,0.10673999999999997,1.6094087000000001,-0.13801,0.21395348837209302,0.07813953488372093,0.08325581395348837,0.6130232558139534,0.011627906976744186
10,1397,2214,0.0073,0.0114,-0.0073,-0.0068,468,160,162,1406,18,-1.3585,1.1349,0.7389,0.7628,0.709,0.4754,2.6355,2.5948,1.610856,-0.2135,0.0012,0.94276,0.00624,-0.00685,0.71939,2.6058499999999998,1.00001,0.46391,-0.74492,0.17187999999999998,1.6095967000000002,-0.17507999999999999,0.21138211382113822,0.07226738934056007,0.07317073170731707,0.6350496838301717,0.008130081300813009
11,1462,2155,0.0156,0.0117,-0.0074,-0.0069,444,148,177,1357,29,-1.2662,1.2446,0.8097,0.7667,0.6696,0.4101,2.6366,2.5983,1.609063,-0.1492,0.0012,0.94304,0.007339999999999999,-0.006959999999999999,0.73312,2.6109400000000003,1.06155,0.44973,-0.9491099999999999,0.32245999999999997,1.6095625000000002,-0.21654,0.2060324825986079,0.06867749419953596,0.08213457076566125,0.6296983758700696,0.01345707656612529
12,1368,2261,0.0071,0.0114,-0.0078,-0.0069,445,147,158,1490,21,-1.331,1.0471,0.7598,0.7661,0.6054,0.399,2.6448,2.6019,1.60809,-0.3301,0.0012,0.94332,0.00753,-0.00707,0.73812,2.61602,1.0987500000000001,0.43922,-1.14114,0.45721,1.6093313999999999,-0.26683,0.1968155683325962,0.06501547987616099,0.06988058381247236,0.659000442282176,0.009287925696594427
